Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
J U L Y,20,Blindspotting,Summit Entertainment / Codeblack Films,"Carlos López Estrada (director); Rafael Casal, Daveed Diggs (screenplay); Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones, Ethan Embry, Tisha Campbell, Utkarsh Ambudkar, Wayne Knight",[127],Comedy Crime Drama
J U L Y,20,Unfriended: Dark Web,BH Tilt,"Stephen Susco (director/screenplay); Colin Woodell, Rebecca Rittenhouse, Betty Gabriel, Andrew Lees, Connor Del Rio, Stephanie Nogueras, Savira Windyani",[128],Horror Thriller Mystery
J U L Y,27,Mission: Impossible – Fallout,Paramount Pictures / Skydance Media / Bad Robot,"Christopher McQuarrie (director/screenplay); Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson, Sean Harris, Angela Bassett, Vanessa Kirby, Michelle Monaghan, Alec Baldwin",[129],Action Adventure
J U L Y,27,Teen Titans Go! To the Movies,Warner Bros. Pictures / Warner Bros. Animation / DC Entertainment,"Peter Rida Michail (director); Aaron Horvath (director/screenplay); Michael Jelenic (screenplay); Greg Cipes, Scott Menville, Khary Payton, Tara Strong, Hynden Walch, Will Arnett, Kristen Bell",[130],Animation Action Comedy Science Fiction
J U L Y,27,Hot Summer Nights,A24,"Elijah Bynum (director/screenplay); Timothée Chalamet, Maika Monroe, Alex Roe, Maia Mitchell, William Fichtner, Thomas Jane, Emory Cohen, Rachel O'Shaughnessy",[131],Drama Comedy Crime
J U L Y,27,Puzzle,Sony Pictures Classics,"Marc Turtletaub (director); Oren Moverman, Polly Mann (screenplay); Kelly Macdonald, Irrfan Khan, David Denman, Bubba Weiler, Austin Abrams, Liv Hewson",[132],Drama
J U L Y,27,Extinction,Netflix,"Ben Young (director); Spenser Cohen, Brad Kane (screenplay); Michael Peña, Lizzy Caplan, Mike Colter, Amelia Crouch, Erica Tremblay, Israel Broussard, Lex Shrapnel, Emma Booth",[133],Action Drama Science Fiction Thriller
A U G U S T,3,Christopher Robin,Walt Disney Pictures,"Marc Forster (director); Alex Ross Perry, Tom McCarthy, Allison Schroeder (screenplay); Ewan McGregor, Hayley Atwell, Jim Cummings, Brad Garrett",[134],Adventure Comedy Family Fantasy
A U G U S T,3,The Darkest Minds,20th Century Fox / 21 Laps Entertainment,"Jennifer Yuh Nelson (director); Chad Hodge (screenplay); Amandla Stenberg, Harris Dickinson, Mandy Moore, Patrick Gibson, Skylan Brooks, Miya Cech, Bradley Whitford, Gwendoline Christie",[135],Action Adventure Drama
A U G U S T,3,The Spy Who Dumped Me,Lionsgate / Imagine Entertainment,"Susanna Fogel (director/screenplay); David Iserson (screenplay); Mila Kunis, Kate McKinnon, Justin Theroux, Sam Heughan",[136],Comedy Action Adventure
A U G U S T,3,The Miseducation of Cameron Post,FilmRise,"Desiree Akhavan (director/screenplay); Cecilia Frugiuele (screenplay); Chloë Grace Moretz, John Gallagher Jr., Sasha Lane, Forrest Goodluck, Marin Ireland, Owen Campbell, Kerry Butler, Quinn Shephard, Emily Skeggs, Melanie Ehrlich, Jennifer Ehle",[137],Drama
A U G U S T,3,Never Goin' Back,A24,"Augustine Frizzell (director/screenplay); Maia Mitchell, Camila Morrone",[138],Comedy
A U G U S T,8,Dog Days,LD Entertainment,"Ken Marino (director); Elissa Matsueda, Erica Oyama (screenplay); Nina Dobrev, Vanessa Hudgens, Adam Pally, Eva Longoria, Rob Corddry, Tone Bell, Jon Bass, Michael Cassidy, Thomas Lennon, Tig Notaro, Finn Wolfhard, Ron Cephas Jones",[139],Romance Comedy
A U G U S T,10,The Meg,Warner Bros. Pictures,"Jon Turteltaub (director); Dean Georgaris, Jon Hoeber, Erich Hoeber (screenplay); Jason Statham, Li Bingbing, Rainn Wilson, Ruby Rose, Winston Chao, Cliff Curtis",[140],Action Science Fiction Horror
A U G U S T,10,BlacKkKlansman,Focus Features / Legendary Pictures / Perfect World Pictures / Monkeypaw Productions / QC Entertainment / 40 Acres and a Mule Filmworks,"Spike Lee (director/screenplay); Charlie Wachtel, David Rabinowitz, Kevin Willmott (screenplay); John David Washington, Adam Driver, Laura Harrier, Topher Grace",[141],Crime Comedy Drama
A U G U S T,10,Slender Man,Screen Gems,"Sylvain White (director); David Birke (screenplay); Julia Goldani Telles, Joey King, Jaz Sinclair, Annalise Basso, Javier Botet",[142],Horror Mystery Thriller
A U G U S T,10,A Prayer Before Dawn,A24,"Jean-Stéphane Sauvaire (director); Jonathan Hirschbein, Nick Saltrese (screenplay); Joe Cole",[143],Drama Action Crime
A U G U S T,10,Elizabeth Harvest,IFC Films,"Sebastian Gutierrez (director/screenplay); Abbey Lee, Matthew Beard, Carla Gugino, Ciarán Hinds, Dylan Baker",[144],Science Fiction Thriller Horror Mystery
A U G U S T,15,Crazy Rich Asians,Warner Bros. Pictures,"Jon M. Chu (director); Peter Chiarelli, Adele Lim (screenplay); Constance Wu, Henry Golding, Gemma Chan, Lisa Lu, Awkwafina, Ken Jeong, Michelle Yeoh",[145],Comedy Romance
A U G U S T,17,Alpha,Columbia Pictures,"Albert Hughes (director); Daniele Sebastian Wiedenhaupt (screenplay); Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson",[146],Adventure Drama
A U G U S T,17,Mile 22,STX Entertainment,"Peter Berg (director); Lea Carpenter (screenplay); Mark Wahlberg, Iko Uwais, John Malkovich, Lauren Cohan, Ronda Rousey, Nikolai Nikolaeff",[147],Action Thriller
